"last_updated","state"
"2022-06-19 19:44:36.170522","19"
"2022-06-19 19:45:36.135464","20"
"2022-06-19 19:47:36.145397","19"
"2022-06-19 19:48:36.148250","18"
"2022-06-19 19:51:36.187758","17"
"2022-06-19 19:53:36.220493","18"
"2022-06-19 19:54:36.159836","20"
"2022-06-19 19:55:36.170288","17"
"2022-06-19 19:56:36.183184","16"
"2022-06-19 19:57:36.184260","15"
"2022-06-19 19:58:36.189188","14"
"2022-06-19 20:00:36.153462","13"
"2022-06-19 20:01:36.177317","10"
"2022-06-19 20:03:36.183807","9"
"2022-06-19 20:13:36.188814","8"
"2022-06-19 20:14:36.207186","10"
"2022-06-19 20:16:36.209119","9"
"2022-06-19 20:17:36.179732","11"
"2022-06-19 20:20:36.185784","12"
"2022-06-19 20:21:36.213318","14"
"2022-06-19 20:23:36.223733","15"
"2022-06-19 20:26:36.223744","16"
"2022-06-19 20:27:36.188592","15"
"2022-06-19 20:28:36.223359","17"
"2022-06-19 20:29:36.189646","18"
"2022-06-19 20:31:36.226336","17"
"2022-06-19 20:36:36.239433","16"
"2022-06-19 20:37:36.203315","14"
"2022-06-19 20:38:36.228181","13"
"2022-06-19 20:41:36.232741","14"
"2022-06-19 20:44:36.215209","15"
"2022-06-19 20:46:36.252110","12"
"2022-06-19 20:47:36.210582","13"
"2022-06-19 20:48:36.263463","11"
"2022-06-19 20:52:36.210754","12"
"2022-06-19 20:54:36.220483","13"
"2022-06-19 20:55:36.228137","14"
"2022-06-19 20:57:36.229461","16"
"2022-06-19 20:59:36.225702","17"
"2022-06-19 21:02:36.232142","18"
"2022-06-19 21:04:36.238002","19"
"2022-06-19 21:05:36.244084","21"
"2022-06-19 21:06:36.277113","22"
"2022-06-19 21:07:36.234853","23"
"2022-06-19 21:08:36.267965","22"
"2022-06-19 21:15:36.241921","21"
"2022-06-19 21:16:36.273945","20"
"2022-06-19 21:19:36.241609","19"
"2022-06-19 21:20:36.245972","20"
"2022-06-19 21:21:36.273820","21"
"2022-06-19 21:22:36.257838","22"
"2022-06-19 21:24:36.250331","23"
"2022-06-19 21:25:36.263647","24"
"2022-06-19 21:26:36.281393","23"
"2022-06-19 21:28:36.285748","24"
"2022-06-19 21:29:36.258273","25"
"2022-06-19 21:30:36.262728","23"
"2022-06-19 21:31:36.300784","22"
"2022-06-19 21:33:36.300533","23"
"2022-06-19 21:39:36.270025","21"
"2022-06-19 21:40:36.284674","20"
"2022-06-19 21:43:36.309942","19"
"2022-06-19 21:44:36.286233","21"
"2022-06-19 21:45:36.287967","22"
"2022-06-19 21:48:36.311431","19"
"2022-06-19 21:50:36.289932","17"
"2022-06-19 21:52:36.276202","18"
"2022-06-19 21:53:36.320328","17"
"2022-06-19 21:56:36.322803","18"
"2022-06-19 21:57:36.298818","19"
"2022-06-19 22:00:36.292058","16"
"2022-06-19 22:02:36.298277","15"
"2022-06-19 22:04:36.303215","14"
"2022-06-19 22:06:36.326042","15"
"2022-06-19 22:18:36.357363","14"
"2022-06-19 22:24:36.326280","13"
"2022-06-19 22:25:36.341784","11"
"2022-06-19 22:26:36.354989","12"
"2022-06-19 22:27:36.345393","11"
"2022-06-19 22:28:36.361838","10"
"2022-06-19 22:30:36.373691","11"
"2022-06-19 22:33:36.364583","10"
"2022-06-19 22:34:36.344489","9"
"2022-06-19 22:35:36.345230","10"
"2022-06-19 22:37:36.357807","9"
"2022-06-19 22:39:36.346630","8"
"2022-06-19 22:44:36.358296","9"
"2022-06-19 22:49:36.366010","10"
"2022-06-19 22:51:36.428462","11"
"2022-06-19 22:55:36.372266","10"
"2022-06-19 23:07:36.385937","11"
"2022-06-19 23:18:36.432916","9"
"2022-06-19 23:20:36.402054","8"
"2022-06-19 23:29:36.418491","7"
"2022-06-19 23:34:36.441296","8"
"2022-06-19 23:46:40.631560","unknown"
"2022-06-19 23:47:36.441715","8"
"2022-06-19 23:48:36.451353","7"
"2022-06-19 23:49:36.459445","6"
"2022-06-19 23:50:36.447111","4"
"2022-06-19 23:53:36.447944","5"
"2022-06-20 00:01:36.467646","4"
"2022-06-20 00:24:36.518093","5"
"2022-06-20 00:25:36.493979","4"
"2022-06-20 00:44:36.540056","5"
"2022-06-20 00:48:36.521018","4"
"2022-06-20 00:53:36.517456","5"
"2022-06-20 00:54:36.555276","4"
"2022-06-20 00:57:36.553258","5"
"2022-06-20 00:59:36.563442","6"
"2022-06-20 01:03:36.532790","5"
"2022-06-20 01:04:36.561314","6"
"2022-06-20 01:07:36.542236","5"
"2022-06-20 01:21:36.583892","6"
"2022-06-20 01:22:36.569713","7"
"2022-06-20 01:27:36.567889","8"
"2022-06-20 01:31:36.605774","9"
"2022-06-20 01:32:36.571734","10"
"2022-06-20 01:36:36.600843","11"
"2022-06-20 01:39:36.644092","12"
"2022-06-20 01:44:36.621253","10"
"2022-06-20 01:45:36.592085","9"
"2022-06-20 01:49:36.627521","10"
"2022-06-20 01:54:36.622419","11"
"2022-06-20 01:56:36.624706","10"
"2022-06-20 01:59:36.634693","11"
"2022-06-20 02:17:36.644948","8"
"2022-06-20 02:21:36.673394","9"
"2022-06-20 02:26:36.668034","8"
"2022-06-20 02:29:36.678990","9"
"2022-06-20 02:31:36.679216","8"
"2022-06-20 02:33:36.665376","9"
"2022-06-20 02:35:36.659512","7"
"2022-06-20 02:39:36.689637","8"
"2022-06-20 02:42:36.704317","7"
"2022-06-20 02:53:36.716400","5"
"2022-06-20 02:56:36.722315","7"
"2022-06-20 02:57:36.697960","8"
"2022-06-20 03:00:36.702411","9"
"2022-06-20 03:07:36.715699","7"
"2022-06-20 03:12:36.717375","8"
"2022-06-20 03:16:36.764831","9"
"2022-06-20 03:19:36.751353","6"
"2022-06-20 03:20:36.731233","5"
"2022-06-20 03:26:36.772467","6"
"2022-06-20 03:27:36.749482","7"
"2022-06-20 03:35:36.782379","5"
"2022-06-20 03:37:36.755265","7"
"2022-06-20 03:38:36.765152","9"
"2022-06-20 03:46:36.787544","8"
"2022-06-20 04:03:36.806323","6"
"2022-06-20 04:07:36.799364","7"
"2022-06-20 04:15:36.809260","6"
"2022-06-20 04:19:36.844792","7"
"2022-06-20 04:30:36.840555","6"
"2022-06-20 04:34:36.869850","5"
"2022-06-20 04:40:36.852924","4"
"2022-06-20 04:52:36.868776","3"
"2022-06-20 04:53:36.890992","5"
"2022-06-20 05:02:36.885092","4"
"2022-06-20 05:03:36.896908","5"
"2022-06-20 05:04:36.881688","4"
"2022-06-20 05:05:36.884226","3"
"2022-06-20 05:07:36.885302","4"
"2022-06-20 05:09:36.921224","5"
"2022-06-20 05:13:36.916862","6"
"2022-06-20 05:16:36.944181","5"
"2022-06-20 05:18:36.927522","4"
"2022-06-20 05:24:36.915807","3"
"2022-06-20 05:26:36.922692","2"
"2022-06-20 05:27:36.929164","3"
"2022-06-20 05:34:36.940399","4"
"2022-06-20 05:35:36.972611","3"
"2022-06-20 05:36:36.932400","4"
"2022-06-20 05:41:36.968522","3"
"2022-06-20 05:49:36.952531","4"
"2022-06-20 05:50:36.986716","3"
"2022-06-20 06:03:37.012575","4"
"2022-06-20 06:05:37.017448","3"
"2022-06-20 06:15:37.021530","4"
"2022-06-20 06:17:36.995258","5"
"2022-06-20 06:27:37.021135","3"
"2022-06-20 06:28:37.045727","2"
"2022-06-20 06:30:37.049340","4"
"2022-06-20 06:31:37.025385","5"
"2022-06-20 06:33:37.098033","3"
"2022-06-20 06:34:37.038884","4"
"2022-06-20 06:47:37.076568","5"
"2022-06-20 06:49:37.041800","6"
"2022-06-20 06:54:37.074000","5"
"2022-06-20 06:56:37.067938","2"
"2022-06-20 06:58:37.100541","3"
"2022-06-20 07:02:37.072592","2"
"2022-06-20 07:05:37.125485","1"
"2022-06-20 07:06:37.076873","0"
"2022-06-20 07:12:37.100915","1"
"2022-06-20 07:14:37.105646","0"
"2022-06-20 07:31:37.125344","1"
"2022-06-20 07:43:37.170886","2"
"2022-06-20 07:45:37.193320","1"
"2022-06-20 07:50:37.178650","2"
"2022-06-20 07:52:37.175081","3"
"2022-06-20 07:54:37.156916","4"
"2022-06-20 07:57:37.225562","5"
"2022-06-20 07:58:37.170563","6"
"2022-06-20 07:59:37.170889","7"
"2022-06-20 08:07:37.226109","8"
"2022-06-20 08:08:37.188210","7"
"2022-06-20 08:09:37.185990","8"
"2022-06-20 08:11:37.200460","10"
"2022-06-20 08:21:37.218970","11"
"2022-06-20 08:22:37.232445","10"
"2022-06-20 08:24:37.206545","12"
"2022-06-20 08:28:37.241861","11"
"2022-06-20 08:29:37.215731","10"
"2022-06-20 08:30:37.239814","11"
"2022-06-20 08:31:37.226944","12"
"2022-06-20 08:33:37.228456","13"
"2022-06-20 08:35:37.256738","11"
"2022-06-20 08:38:37.222553","13"
"2022-06-20 08:40:37.234334","14"
"2022-06-20 08:46:37.226924","13"
"2022-06-20 08:47:37.262463","11"
"2022-06-20 08:50:37.267223","12"
"2022-06-20 08:51:37.217297","13"
"2022-06-20 08:57:37.260371","12"
"2022-06-20 08:59:37.226890","11"
"2022-06-20 09:01:37.241173","10"
"2022-06-20 09:06:37.255698","11"
"2022-06-20 09:09:37.235751","10"
"2022-06-20 09:12:37.276270","9"
"2022-06-20 09:21:37.297901","10"
"2022-06-20 09:26:37.262469","9"
"2022-06-20 09:30:37.288051","10"
"2022-06-20 09:31:37.293669","9"
"2022-06-20 09:36:37.271278","10"
"2022-06-20 09:41:37.290118","11"
"2022-06-20 09:43:37.294279","12"
"2022-06-20 09:44:37.282000","10"
"2022-06-20 09:45:37.320260","8"
"2022-06-20 09:52:37.332829","7"
"2022-06-20 09:59:37.318178","8"
"2022-06-20 10:00:37.345557","7"
"2022-06-20 10:03:37.338273","6"
"2022-06-20 10:05:37.339993","5"
"2022-06-20 10:07:37.352841","4"
"2022-06-20 10:10:37.370974","5"
"2022-06-20 10:11:37.336121","6"
"2022-06-20 10:13:37.352077","5"
"2022-06-20 10:15:37.367227","6"
"2022-06-20 10:30:37.346039","5"
"2022-06-20 10:40:37.364752","7"
"2022-06-20 10:42:37.406652","8"
"2022-06-20 10:43:37.370284","9"
"2022-06-20 10:51:37.382425","10"
"2022-06-20 10:54:37.422726","11"
"2022-06-20 10:55:37.414815","12"
"2022-06-20 10:58:37.389577","11"
"2022-06-20 10:59:37.424435","12"
"2022-06-20 11:02:37.436598","8"
"2022-06-20 11:07:37.426761","9"
"2022-06-20 11:12:37.432086","10"
"2022-06-20 11:13:37.418273","9"
"2022-06-20 11:14:37.444712","8"
"2022-06-20 11:17:37.437689","6"
"2022-06-20 11:18:37.410525","5"
"2022-06-20 11:21:37.437875","4"
"2022-06-20 11:26:37.455924","5"
"2022-06-20 11:30:37.427507","6"
"2022-06-20 11:32:37.472417","5"
"2022-06-20 11:43:37.459021","7"
"2022-06-20 11:44:37.479594","8"
"2022-06-20 11:50:37.449927","9"
"2022-06-20 11:51:37.457410","8"
"2022-06-20 11:53:37.452964","9"
"2022-06-20 11:56:37.456634","10"
"2022-06-20 11:58:37.482013","9"
"2022-06-20 12:03:37.472565","10"
"2022-06-20 12:04:37.499644","9"
"2022-06-20 12:05:37.469941","8"
"2022-06-20 12:12:37.508326","7"
"2022-06-20 12:13:37.476611","6"
"2022-06-20 12:15:37.469312","7"
"2022-06-20 12:16:37.487672","6"
"2022-06-20 12:17:37.514637","5"
"2022-06-20 12:19:37.536347","4"
"2022-06-20 12:25:37.497756","5"
"2022-06-20 12:28:37.496727","6"
"2022-06-20 12:29:37.517118","5"
"2022-06-20 12:30:37.500299","6"
"2022-06-20 12:31:37.496320","7"
"2022-06-20 12:33:37.505337","8"
"2022-06-20 12:35:37.515470","9"
"2022-06-20 12:36:37.515544","8"
"2022-06-20 12:39:37.536735","9"
"2022-06-20 12:41:37.522381","10"
"2022-06-20 12:44:37.556279","11"
"2022-06-20 12:45:37.528028","10"
"2022-06-20 12:46:37.516533","11"
"2022-06-20 12:52:37.562053","10"
"2022-06-20 13:02:37.576736","11"
"2022-06-20 13:04:37.559116","12"
"2022-06-20 13:12:37.584497","10"
"2022-06-20 13:13:37.552529","9"
"2022-06-20 13:17:37.587056","11"
"2022-06-20 13:19:37.605321","13"
"2022-06-20 13:20:37.570867","14"
"2022-06-20 13:26:37.592623","11"
"2022-06-20 13:31:37.599431","10"
"2022-06-20 13:32:37.652697","12"
"2022-06-20 13:36:37.600097","13"
"2022-06-20 13:38:37.601858","14"
"2022-06-20 13:40:37.616159","15"
"2022-06-20 13:41:37.604370","16"
"2022-06-20 13:42:37.637950","15"
"2022-06-20 13:54:37.665327","16"
"2022-06-20 13:55:37.632848","15"
"2022-06-20 13:56:37.653896","13"
"2022-06-20 13:57:37.625697","12"
"2022-06-20 14:03:37.646791","13"
"2022-06-20 14:07:37.652469","14"
"2022-06-20 14:08:37.648884","15"
"2022-06-20 14:09:37.686265","14"
"2022-06-20 14:12:37.668833","12"
"2022-06-20 14:13:37.664623","11"
"2022-06-20 14:15:37.663287","12"
"2022-06-20 14:16:37.690141","13"
"2022-06-20 14:18:37.668845","12"
"2022-06-20 14:24:37.697670","13"
"2022-06-20 14:25:37.698891","14"
"2022-06-20 14:26:37.706965","15"
"2022-06-20 14:27:37.681649","14"
"2022-06-20 14:29:37.702663","10"
"2022-06-20 14:30:37.680435","11"
"2022-06-20 14:33:37.691856","12"
"2022-06-20 14:35:37.733573","13"
"2022-06-20 14:36:37.738067","14"
"2022-06-20 14:38:37.696935","13"
"2022-06-20 14:40:37.701948","12"
"2022-06-20 14:41:37.731799","13"
"2022-06-20 14:47:37.712776","12"
"2022-06-20 14:50:37.712274","13"
"2022-06-20 15:00:37.711925","14"
"2022-06-20 15:01:37.764771","13"
"2022-06-20 15:08:37.732653","15"
"2022-06-20 15:10:37.727007","14"
"2022-06-20 15:11:37.774566","13"
"2022-06-20 15:12:37.732480","9"
"2022-06-20 15:15:37.741607","10"
